NAME,ABB,FIPS_STATE
ALABAMA,AL,1
ALASKA,AK,2
ARIZONA,AZ,4
ARKANSAS,AR,5
CALIFORNIA,CA,6
COLORADO,CO,8
CONNECTICUT,CT,9
DELAWARE,DE,10
DC,DC,11
FLORIDA,FL,12
GEORGIA,GA,13
HAWAII,HI,15
IDAHO,ID,16
ILLINOIS,IL,17
INDIANA,IN,18
IOWA,IA,19
KANSAS,KS,20
KENTUCKY,KY,21
LOUISIANA,LA,22
MAINE,ME,23
MARYLAND,MD,24
MASSACHUSETTS,MA,25
MICHIGAN,MI,26
MINNESOTA,MN,27
MISSISSIPPI,MS,28
MISSOURI,MO,29
MONTANA,MT,30
NEBRASKA,NE,31
NEVADA,NV,32
NEW HAMPSHIRE,NH,33
NEW JERSEY,NJ,34
NEW MEXICO,NM,35
NEW YORK,NY,36
NORTH CAROLINA,NC,37
NORTH DAKOTA,ND,38
OHIO,OH,39
OKLAHOMA,OK,40
OREGON,OR,41
PENNSYLVANIA,PA,42
RHODE ISLAND,RI,44
SOUTH CAROLINA,SC,45
SOUTH DAKOTA,SD,46
TENNESSEE,TN,47
TEXAS,TX,48
UTAH,UT,49
VERMONT,VT,50
VIRGINIA,VA,51
WASHINGTON,WA,53
WEST VIRGINIA,WV,54
WISCONSIN,WI,55
WYOMING,WY,56
PUERTO RICO,PR,72
